"一级","专业名","专业id","专业编码","别名"
建筑设计类,建筑装饰工程,101091,"0/101081/101091","建筑装饰工程,Building decoration engineering"
建筑设计类,古建筑工程,101092,"0/101081/101092","古建筑工程,Ancient architectural projects"
建筑设计类,园林景观工程,101093,"0/101081/101093","园林景观工程,Garden landscape engineering"
建筑设计类,城市设计数字技术,101094,"0/101081/101094","城市设计数字技术,Digital Technology for Urban Design"
新闻传播学类（交叉专业）,会展,101096,"0/101095/101096","会展,Exhibition"
地质类,地质工程,101098,"0/101097/101098","地质工程,Geological Engineering"
地质类,勘查技术与工程,101099,"0/101097/101099","勘查技术与工程,Exploration Technology and Engineering"
地质类,资源勘查工程,101100,"0/101097/101100","资源勘查工程,Resource exploration project"
地质类,地下水科学与工程,101101,"0/101097/101101","地下水科学与工程,Groundwater Science and Engineering"
地质类,旅游地学与规划工程,101102,"0/101097/101102","旅游地学与规划工程,Tourism geoscience and planning engineering"
地质类,智能地球探测,101103,"0/101097/101103","智能地球探测,Smart Earth Exploration"
地质类,资源环境大数据工程,101104,"0/101097/101104","资源环境大数据工程,Resource and Environmental Big Data Project"
地质类,工程地质勘查,101105,"0/101097/101105","工程地质勘查,Engineering geological survey"
地质类,水文与工程地质,101106,"0/101097/101106","水文与工程地质,Hydrology and Engineering Geology"
地质类,矿山地质,101107,"0/101097/101107","矿山地质,Mine Geology"
地质类,钻探工程技术,101108,"0/101097/101108","钻探工程技术,Drilling Engineering Technology"
地质类,岩土工程技术,101109,"0/101097/101109","岩土工程技术,Geotechnical Engineering Technology"
地质类,地球物理勘探技术,101110,"0/101097/101110","地球物理勘探技术,Geophysical Exploration Technology"
地质类,地质灾害调查与防治,101111,"0/101097/101111","地质灾害调查与防治,Geological disaster investigation and prevention"
地质类,环境地质工程,101112,"0/101097/101112","环境地质工程,Environmental Geology Engineering"
地质类,城市地质勘查,101113,"0/101097/101113","城市地质勘查,Urban geological survey"
地质类,水文地质与工程地质勘查,101114,"0/101097/101114","水文地质与工程地质勘查,Hydrogeology and engineering geological survey"
地质类,钻探技术,101115,"0/101097/101115","钻探技术,Drilling Technology"
地质类,掘进技术,101116,"0/101097/101116","掘进技术,Tunneling technology"
地质类,岩土工程勘察与施工,101117,"0/101097/101117","岩土工程勘察与施工,Geotechnical Engineering Investigation and Construction"
地质类,地质灾害调查与治理施工,101118,"0/101097/101118","地质灾害调查与治理施工,Geological disaster investigation and control construction"
金融学类,金融学,101120,"0/101119/101120","金融学,Finance"
金融学类,金融工程,101121,"0/101119/101121","金融工程,Financial Engineering"
金融学类,保险学,101122,"0/101119/101122","保险学,Insurance"
金融学类,投资学,101123,"0/101119/101123","投资学,Investment"
金融学类,金融数学,101124,"0/101119/101124","金融数学,Financial Mathematics"
金融学类,信用管理,101125,"0/101119/101125","信用管理,Credit Management"
金融学类,经济与金融,101126,"0/101119/101126","经济与金融,Economics and Finance"
金融学类,精算学,101127,"0/101119/101127","精算学,Actuarial Science"
金融学类,互联网金融,101128,"0/101119/101128","互联网金融,Internet Finance"
金融学类,金融科技,101129,"0/101119/101129","金融科技,Fintech"
能源动力类,能源与动力工程,101131,"0/101130/101131","能源与动力工程,Energy and Power Engineering"
能源动力类,能源与环境系统工程,101132,"0/101130/101132","能源与环境系统工程,Energy and Environmental Systems Engineering"
能源动力类,新能源科学与工程,101133,"0/101130/101133","新能源科学与工程,New Energy Science and Engineering"
能源动力类,储能科学与工程,101134,"0/101130/101134","储能科学与工程,Energy Storage Science and Engineering"
能源动力类,能源服务工程,101135,"0/101130/101135","能源服务工程,Energy Service Engineering"
能源动力类,氢能科学与工程,101136,"0/101130/101136","氢能科学与工程,Hydrogen Energy Science and Engineering"
能源动力类,可持续能源,101137,"0/101130/101137","可持续能源,Sustainable Energy"
土木类,土木工程,101139,"0/101138/101139","土木工程,civil Engineering"
土木类,建筑环境与能源应用工程,101140,"0/101138/101140","建筑环境与能源应用工程,Building Environment and Energy Application Engineering"
土木类,给排水科学与工程,101141,"0/101138/101141","给排水科学与工程,Water supply and drainage science and engineering"
土木类,建筑电气与智能化,101142,"0/101138/101142","建筑电气与智能化,Building electrical and intelligent"
土木类,城市地下空间工程,101143,"0/101138/101143","城市地下空间工程,Urban underground space engineering"
土木类,道路桥梁与渡河工程,101144,"0/101138/101144","道路桥梁与渡河工程,Road, bridge and river crossing engineering"
土木类,铁道工程,101145,"0/101138/101145","铁道工程,Railway Engineering"
土木类,智能建造,101146,"0/101138/101146","智能建造,Smart Construction"
土木类,土木、水利与海洋工程,101147,"0/101138/101147","土木、水利与海洋工程,Civil, Hydraulic and Marine Engineering"
土木类,土木、水利与交通工程,101148,"0/101138/101148","土木、水利与交通工程,Civil, Water Conservancy and Transportation Engineering"
土木类,城市水系统工程,101149,"0/101138/101149","城市水系统工程,Urban water system engineering"
土木类,智能建造与智慧交通,101150,"0/101138/101150","智能建造与智慧交通,Smart construction and smart transportation"
文秘类,现代文秘,101152,"0/101151/101152","现代文秘,Modern Secretary"
文秘类,文秘,101153,"0/101151/101153","文秘,Secretary"
文秘类,行政事务助理,101154,"0/101151/101154","行政事务助理,Administrative Assistant"
文秘类,商务助理,101155,"0/101151/101155","商务助理,Business Assistant"
新闻出版类,数字图文信息处理技术,101157,"0/101156/101157","数字图文信息处理技术,Digital Graphic Information Processing Technology"
新闻出版类,网络新闻与传播,101158,"0/101156/101158","网络新闻与传播,Online News and Communication"
新闻出版类,出版策划与编辑,101159,"0/101156/101159","出版策划与编辑,Publishing planning and editing"
新闻出版类,出版商务,101160,"0/101156/101160","出版商务,Publishing Business"
新闻出版类,数字出版,101161,"0/101156/101161","数字出版,Digital Publishing"
新闻出版类,数字媒体设备应用与管理,101162,"0/101156/101162","数字媒体设备应用与管理,Digital media equipment application and management"
新闻出版类,网络与新媒体,101163,"0/101156/101163","网络与新媒体,Internet and New Media"
气象类,雷电防护技术,101165,"0/101164/101165","雷电防护技术,Lightning protection technology"
气象类,气象服务,101166,"0/101164/101166","气象服务,Weather Services"
气象类,智慧气象技术,101167,"0/101164/101167","智慧气象技术,Smart Weather Technology"
管理学类,工程管理,101169,"0/101168/101169","工程管理,Engineering Management"
管理学类,工商管理,101170,"0/101168/101170","工商管理,Business Administration"
管理学类,工商管理学,101171,"0/101168/101171","工商管理学,Business Administration"
管理学类,公共管理,101172,"0/101168/101172","公共管理,Public Administration"
管理学类,公共管理学,101173,"0/101168/101173","公共管理学,Public Administration"
管理学类,管理科学与工程,101174,"0/101168/101174","管理科学与工程,Management Science and Engineering"
管理学类,会计,101175,"0/101168/101175","会计,Accounting"
管理学类,旅游管理,101176,"0/101168/101176","旅游管理,Tourism Management"
管理学类,农林经济管理,101177,"0/101168/101177","农林经济管理,Agricultural and Forestry Economic Management"
管理学类,审计,101178,"0/101168/101178","审计,audit"
管理学类,图书情报,101179,"0/101168/101179","图书情报,Library and Information"
管理学类,信息资源管理,101180,"0/101168/101180","信息资源管理,Information Resource Management"
自动化类,自动化,101182,"0/101181/101182","自动化,automation"
自动化类,轨道交通信号与控制,101183,"0/101181/101183","轨道交通信号与控制,Rail Transit Signal and Control"
自动化类,机器人工程,101184,"0/101181/101184","机器人工程,Robotics Engineering"
自动化类,邮政工程,101185,"0/101181/101185","邮政工程,Postal Engineering"
自动化类,核电技术与控制工程,101186,"0/101181/101186","核电技术与控制工程,Nuclear Power Technology and Control Engineering"
自动化类,智能装备与系统,101187,"0/101181/101187","智能装备与系统,Intelligent equipment and systems"
自动化类,工业智能,101188,"0/101181/101188","工业智能,Industrial Intelligence"
自动化类,智能工程与创意设计,101189,"0/101181/101189","智能工程与创意设计,Smart Engineering and Creative Design"
自动化类,智能机电技术,101190,"0/101181/101190","智能机电技术,Intelligent electromechanical technology"
自动化类,智能机器人技术,101191,"0/101181/101191","智能机器人技术,Intelligent Robotics"
自动化类,工业过程自动化技术,101192,"0/101181/101192","工业过程自动化技术,Industrial process automation technology"
自动化类,工业自动化仪表技术,101193,"0/101181/101193","工业自动化仪表技术,Industrial Automation Instrument Technology"
自动化类,工业互联网应用,101194,"0/101181/101194","工业互联网应用,Industrial Internet Applications"
自动化类,计量测试与应用技术,101195,"0/101181/101195","计量测试与应用技术,Measurement, testing and application technology"
自动化类,机电技术应用,101196,"0/101181/101196","机电技术应用,Mechanical and electrical technology applications"
自动化类,电气设备运行与控制,101197,"0/101181/101197","电气设备运行与控制,Electrical equipment operation and control"
自动化类,工业机器人技术应用,101198,"0/101181/101198","工业机器人技术应用,Industrial Robot Technology Application"
自动化类,工业自动化仪表及应用,101199,"0/101181/101199","工业自动化仪表及应用,Industrial automation instruments and applications"
自动化类,液压与气动技术应用,101200,"0/101181/101200","液压与气动技术应用,Hydraulic and pneumatic technology applications"
自动化类,智能化生产线安装与运维,101201,"0/101181/101201","智能化生产线安装与运维,Intelligent production line installation and operation and maintenance"
自动化类,机械电子工程技术,101202,"0/101181/101202","机械电子工程技术,Mechanical and Electronic Engineering Technology"
自动化类,电气工程及自动化,101203,"0/101181/101203","电气工程及自动化,Electrical Engineering and Automation"
自动化类,机器人技术,101204,"0/101181/101204","机器人技术,Robotics"
自动化类,自动化技术与应用,101205,"0/101181/101205","自动化技术与应用,Automation technology and applications"
自动化类,现代测控工程技术,101206,"0/101181/101206","现代测控工程技术,Modern measurement and control engineering technology"
自动化类,工业互联网工程,101207,"0/101181/101207","工业互联网工程,Industrial Internet Engineering"
财务会计类,大数据与财务管理,101209,"0/101208/101209","大数据与财务管理,Big Data and Financial Management"
财务会计类,大数据与会计,101210,"0/101208/101210","大数据与会计,Big Data and Accounting"
财务会计类,大数据与审计,101211,"0/101208/101211","大数据与审计,Big Data and Auditing"
财务会计类,会计信息管理,101212,"0/101208/101212","会计信息管理,Accounting Information Management"
财务会计类,会计事务,101213,"0/101208/101213","会计事务,Accounting"
作物学类,作物学,101215,"0/101214/101215","作物学,Crop Science"
生物工程类,生物工程,101217,"0/101216/101217","生物工程,Bioengineering"
生物工程类,生物制药,101218,"0/101216/101218","生物制药,Biopharmaceuticals"
生物工程类,合成生物学,101219,"0/101216/101219","合成生物学,Synthetic Biology"
力学类,理论与应用力学,101221,"0/101220/101221","理论与应用力学,Theoretical and Applied Mechanics"
力学类,工程力学,101222,"0/101220/101222","工程力学,Engineering Mechanics"
力学类,力学,101223,"0/101220/101223","力学,Mechanics"
口腔医学类,口腔医学,101225,"0/101224/101225","口腔医学,Dentistry"
资源勘查类,国土资源调查与管理,101227,"0/101226/101227","国土资源调查与管理,Land and Resources Survey and Management"
资源勘查类,地质调查与矿产普查,101228,"0/101226/101228","地质调查与矿产普查,Geological survey and mineral exploration"
资源勘查类,生态地质调查,101229,"0/101226/101229","生态地质调查,Ecological geological survey"
资源勘查类,矿产地质勘查,101230,"0/101226/101230","矿产地质勘查,Mineral geological exploration"
资源勘查类,煤田地质勘查,101231,"0/101226/101231","煤田地质勘查,Coalfield geological survey"
资源勘查类,岩矿分析与鉴定,101232,"0/101226/101232","岩矿分析与鉴定,Rock and mineral analysis and identification"
资源勘查类,宝玉石鉴定与加工,101233,"0/101226/101233","宝玉石鉴定与加工,Gemstone identification and processing"
资源勘查类,地质调查与找矿,101234,"0/101226/101234","地质调查与找矿,Geological survey and prospecting"
资源勘查类,宝玉石加工与检测,101235,"0/101226/101235","宝玉石加工与检测,Gemstone Processing and Testing"
资源勘查类,资源勘查工程技术,101236,"0/101226/101236","资源勘查工程技术,Resource Exploration Engineering Technology"
林业类,林业技术,101238,"0/101237/101238","林业技术,Forestry Technology"
林业类,园林技术,101239,"0/101237/101239","园林技术,Gardening Technology"
林业类,草业技术,101240,"0/101237/101240","草业技术,Grassland Technology"
林业类,花卉生产与花艺,101241,"0/101237/101241","花卉生产与花艺,Flower production and floristry"
林业类,经济林培育与利用,101242,"0/101237/101242","经济林培育与利用,Cultivation and Utilization of Economic Forests"
林业类,森林和草原资源保护,101243,"0/101237/101243","森林和草原资源保护,Forest and grassland resource protection"
林业类,林草生态保护与修复,101244,"0/101237/101244","林草生态保护与修复,Forest and Grassland Ecological Protection and Restoration"
林业类,野生动植物资源保护与利用,101245,"0/101237/101245","野生动植物资源保护与利用,Protection and Utilization of Wild Animal and Plant Resources"
林业类,自然保护地建设与管理,101246,"0/101237/101246","自然保护地建设与管理,Construction and management of nature reserves"
林业类,森林生态旅游与康养,101247,"0/101237/101247","森林生态旅游与康养,Forest Ecotourism and Health Care"
林业类,林业信息技术应用,101248,"0/101237/101248","林业信息技术应用,Application of Forestry Information Technology"
林业类,木业智能装备应用技术,101249,"0/101237/101249","木业智能装备应用技术,Application technology of intelligent equipment in wood industry"
林业类,木业产品设计与制造,101250,"0/101237/101250","木业产品设计与制造,Wood product design and manufacturing"
林业类,林业生产技术,101251,"0/101237/101251","林业生产技术,Forestry production technology"
林业类,园林绿化,101252,"0/101237/101252","园林绿化,Landscaping"
林业类,森林资源保护与管理,101253,"0/101237/101253","森林资源保护与管理,Forest resource protection and management"
林业类,木业产品加工技术,101254,"0/101237/101254","木业产品加工技术,Wood product processing technology"
林业类,智慧林业技术,101255,"0/101237/101255","智慧林业技术,Smart Forestry Technology"
林业类,园林工程,101256,"0/101237/101256","园林工程,Garden Project"
林业类,木业产品智能制造,101257,"0/101237/101257","木业产品智能制造,Intelligent manufacturing of wood products"
管理科学与工程类,管理科学,101259,"0/101258/101259","管理科学,Management Science"
管理科学与工程类,信息管理与信息系统,101260,"0/101258/101260","信息管理与信息系统,Information Management and Information Systems"
管理科学与工程类,工程管理,101261,"0/101258/101261","工程管理,Engineering Management"
管理科学与工程类,房地产开发与管理,101262,"0/101258/101262","房地产开发与管理,Real estate development and management"
管理科学与工程类,工程造价,101263,"0/101258/101263","工程造价,Project cost"
管理科学与工程类,保密管理,101264,"0/101258/101264","保密管理,Confidentiality Management"
管理科学与工程类,邮政管理,101265,"0/101258/101265","邮政管理,Postal Management"
管理科学与工程类,大数据管理与应用,101266,"0/101258/101266","大数据管理与应用,Big Data Management and Application"
管理科学与工程类,工程审计,101267,"0/101258/101267","工程审计,Engineering Audit"
管理科学与工程类,计算金融,101268,"0/101258/101268","计算金融,Computational Finance"
管理科学与工程类,应急管理,101269,"0/101258/101269","应急管理,Emergency Management"
管理科学与工程类,管理科学与工程,101270,"0/101258/101270","管理科学与工程,Management Science and Engineering"
信息与通信工程类,信息与通信工程,101272,"0/101271/101272","信息与通信工程,Information and Communication Engineering"
心理学类,心理学,101274,"0/101273/101274","心理学,psychology"
心理学类,应用心理学,101275,"0/101273/101275","应用心理学,Applied Psychology"
文化服务类,文化创意与策划,101277,"0/101276/101277","文化创意与策划,Cultural Creativity and Planning"
文化服务类,文化产业经营与管理,101278,"0/101276/101278","文化产业经营与管理,Cultural Industry Operation and Management"
文化服务类,公共文化服务与管理,101279,"0/101276/101279","公共文化服务与管理,Public cultural services and management"
文化服务类,文物修复与保护,101280,"0/101276/101280","文物修复与保护,Restoration and protection of cultural relics"
文化服务类,文物考古技术,101281,"0/101276/101281","文物考古技术,Archaeological technology of cultural relics"
文化服务类,文物展示利用技术,101282,"0/101276/101282","文物展示利用技术,Cultural Relics Display and Utilization Technology"
文化服务类,图书档案管理,101283,"0/101276/101283","图书档案管理,Book and archive management"
文化服务类,石窟寺保护技术,101284,"0/101276/101284","石窟寺保护技术,Grotto Temple Protection Technology"
文化服务类,社会文化艺术,101285,"0/101276/101285","社会文化艺术,Social Culture and Arts"
文化服务类,文物保护技术,101286,"0/101276/101286","文物保护技术,Cultural Relics Protection Technology"
文化服务类,图书档案数字化管理,101287,"0/101276/101287","图书档案数字化管理,Digital management of books and archives"
农业类,种子生产与经营,101289,"0/101288/101289","种子生产与经营,Seed production and management"
农业类,作物生产与经营管理,101290,"0/101288/101290","作物生产与经营管理,Crop production and management"
农业类,现代农业技术,101291,"0/101288/101291","现代农业技术,Modern agricultural technology"
农业类,生态农业技术,101292,"0/101288/101292","生态农业技术,Ecological agricultural technology"
农业类,园艺技术,101293,"0/101288/101293","园艺技术,Gardening techniques"
农业类,植物保护与检疫技术,101294,"0/101288/101294","植物保护与检疫技术,Plant protection and quarantine technology"
农业类,茶叶生产与加工技术,101295,"0/101288/101295","茶叶生产与加工技术,Tea production and processing technology"
农业类,中草药栽培与加工技术,101296,"0/101288/101296","中草药栽培与加工技术,Cultivation and processing technology of Chinese herbal medicine"
农业类,烟草栽培与加工技术,101297,"0/101288/101297","烟草栽培与加工技术,Tobacco cultivation and processing technology"
农业类,饲草生产技术,101298,"0/101288/101298","饲草生产技术,Forage production technology"
农业类,食用菌生产与加工技术,101299,"0/101288/101299","食用菌生产与加工技术,Edible Fungi Production and Processing Technology"
农业类,设施农业与装备,101300,"0/101288/101300","设施农业与装备,Facility Agriculture and Equipment"
农业类,现代农业装备应用技术,101301,"0/101288/101301","现代农业装备应用技术,Modern agricultural equipment application technology"
农业类,农产品加工与质量检测,101302,"0/101288/101302","农产品加工与质量检测,Agricultural product processing and quality testing"
农业类,绿色食品生产技术,101303,"0/101288/101303","绿色食品生产技术,Green food production technology"
农业类,农产品流通与管理,101304,"0/101288/101304","农产品流通与管理,Agricultural product circulation and management"
农业类,棉花加工与经营管理,101305,"0/101288/101305","棉花加工与经营管理,Cotton processing and business management"
农业类,休闲农业经营与管理,101306,"0/101288/101306","休闲农业经营与管理,Leisure agriculture operation and management"
农业类,现代农业经济管理,101307,"0/101288/101307","现代农业经济管理,Modern Agricultural Economic Management"
农业类,农村新型经济组织管理,101308,"0/101288/101308","农村新型经济组织管理,Management of New Rural Economic Organizations"
农业类,种子生产技术,101309,"0/101288/101309","种子生产技术,Seed production technology"
农业类,作物生产技术,101310,"0/101288/101310","作物生产技术,Crop production technology"
农业类,循环农业与再生资源利用,101311,"0/101288/101311","循环农业与再生资源利用,Circular Agriculture and Utilization of Renewable Resources"
农业类,家庭农场生产经营,101312,"0/101288/101312","家庭农场生产经营,Family farm production and management"
农业类,植物保护,101313,"0/101288/101313","植物保护,Plant protection"
农业类,茶叶生产与加工,101314,"0/101288/101314","茶叶生产与加工,Tea production and processing"
农业类,中草药栽培,101315,"0/101288/101315","中草药栽培,Chinese herbal medicine cultivation"
农业类,烟草栽培与加工,101316,"0/101288/101316","烟草栽培与加工,Tobacco cultivation and processing"
农业类,饲草栽培与加工,101317,"0/101288/101317","饲草栽培与加工,Forage cultivation and processing"
农业类,农村电气技术,101318,"0/101288/101318","农村电气技术,Rural Electrical Technology"
农业类,设施农业生产技术,101319,"0/101288/101319","设施农业生产技术,Facility Agriculture Production Technology"
农业类,农机设备应用与维修,101320,"0/101288/101320","农机设备应用与维修,Agricultural machinery application and maintenance"
农业类,农产品贮藏与加工,101321,"0/101288/101321","农产品贮藏与加工,Agricultural product storage and processing"
农业类,农产品营销与储运,101322,"0/101288/101322","农产品营销与储运,Agricultural product marketing, storage and transportation"
农业类,棉花加工与检验,101323,"0/101288/101323","棉花加工与检验,Cotton Processing and Inspection"
农业类,休闲农业生产与经营,101324,"0/101288/101324","休闲农业生产与经营,Leisure agriculture production and management"
农业类,农资营销与服务,101325,"0/101288/101325","农资营销与服务,Agricultural materials marketing and services"
农业类,现代种业技术,101326,"0/101288/101326","现代种业技术,Modern seed technology"
农业类,作物生产与品质改良,101327,"0/101288/101327","作物生产与品质改良,Crop production and quality improvement"
农业类,智慧农业技术,101328,"0/101288/101328","智慧农业技术,Smart agricultural technology"
农业类,设施园艺,101329,"0/101288/101329","设施园艺,Protected Gardening"
农业类,现代农业经营与管理,101330,"0/101288/101330","现代农业经营与管理,Modern agricultural operation and management"
安全防范类,安全防范技术,101332,"0/101331/101332","安全防范技术,Security Technology"
安全防范类,安全保卫管理,101333,"0/101331/101333","安全保卫管理,Security Management"
安全防范类,智能安防运营管理,101334,"0/101331/101334","智能安防运营管理,Intelligent security operation management"
安全防范类,安全保卫服务,101335,"0/101331/101335","安全保卫服务,Security services"
安全防范类,数字安防技术,101336,"0/101331/101336","数字安防技术,Digital security technology"
安全防范类,国际安保服务与管理,101337,"0/101331/101337","国际安保服务与管理,International security services and management"
广播影视类,播音与主持,101339,"0/101338/101339","播音与主持,Broadcasting and hosting"
广播影视类,广播影视节目制作,101340,"0/101338/101340","广播影视节目制作,Radio and TV Program Production"
广播影视类,数字广播电视技术,101341,"0/101338/101341","数字广播电视技术,Digital Broadcasting Technology"
广播影视类,影视制片管理,101342,"0/101338/101342","影视制片管理,Film and television production management"
广播影视类,影视照明技术与艺术,101343,"0/101338/101343","影视照明技术与艺术,Film and Television Lighting Technology and Art"
广播影视类,融媒体技术与运营,101344,"0/101338/101344","融媒体技术与运营,Converged Media Technology and Operation"
广播影视类,网络直播与运营,101345,"0/101338/101345","网络直播与运营,Live webcast and operation"
广播影视类,传播与策划,101346,"0/101338/101346","传播与策划,Communication and Planning"
广播影视类,全媒体广告策划与营销,101347,"0/101338/101347","全媒体广告策划与营销,Omnimedia advertising planning and marketing"
广播影视类,影像与影视技术,101348,"0/101338/101348","影像与影视技术,Imaging and Film Technology"
广播影视类,动漫与游戏制作,101349,"0/101338/101349","动漫与游戏制作,Animation and game production"
广播影视类,影视摄影与制作,101350,"0/101338/101350","影视摄影与制作,Film and Television Photography and Production"
广播影视类,全媒体新闻采编与制作,101351,"0/101338/101351","全媒体新闻采编与制作,All-media news editing and production"
广播影视类,数字动画,101352,"0/101338/101352","数字动画,Digital Animation"
公安管理类,道路交通管理,101354,"0/101353/101354","道路交通管理,Road Traffic Management"
公安管理类,警务指挥与战术,101355,"0/101353/101355","警务指挥与战术,Police Command and Tactics"
水利类,水利水电工程,101357,"0/101356/101357","水利水电工程,Water Conservancy and Hydropower Engineering"
水利类,水文与水资源工程,101358,"0/101356/101358","水文与水资源工程,Hydrology and Water Resources Engineering"
水利类,港口航道与海岸工程,101359,"0/101356/101359","港口航道与海岸工程,Port Channel and Coastal Engineering"
水利类,水务工程,101360,"0/101356/101360","水务工程,Water Engineering"
水利类,水利科学与工程,101361,"0/101356/101361","水利科学与工程,Water Science and Engineering"
水利类,智慧水利,101362,"0/101356/101362","智慧水利,Smart Water Conservancy"
哲学类,哲学,101364,"0/101363/101364","哲学,philosophy"
哲学类,逻辑学,101365,"0/101363/101365","逻辑学,Logic"
哲学类,宗教学,101366,"0/101363/101366","宗教学,Religious Studies"
哲学类,伦理学,101367,"0/101363/101367","伦理学,Ethics"
哲学类,应用伦理,101368,"0/101363/101368","应用伦理,Applied Ethics"
轻化工类,化妆品技术,101370,"0/101369/101370","化妆品技术,Cosmetic Technology"
轻化工类,现代造纸技术,101371,"0/101369/101371","现代造纸技术,Modern Papermaking Technology"
轻化工类,家具设计与制造,101372,"0/101369/101372","家具设计与制造,Furniture design and manufacturing"
轻化工类,鞋类设计与工艺,101373,"0/101369/101373","鞋类设计与工艺,Footwear Design and Craftsmanship"
轻化工类,陶瓷制造技术与工艺,101374,"0/101369/101374","陶瓷制造技术与工艺,Ceramic manufacturing technology and process"
轻化工类,珠宝首饰技术与管理,101375,"0/101369/101375","珠宝首饰技术与管理,Jewelry Technology and Management"
轻化工类,皮具制作与工艺,101376,"0/101369/101376","皮具制作与工艺,Leather goods production and craftsmanship"
轻化工类,乐器制造与维护,101377,"0/101369/101377","乐器制造与维护,Musical instrument manufacturing and maintenance"
轻化工类,香料香精技术与工艺,101378,"0/101369/101378","香料香精技术与工艺,Flavor and Fragrance Technology and Process"
轻化工类,化妆品制造技术,101379,"0/101369/101379","化妆品制造技术,Cosmetics Manufacturing Technology"
轻化工类,现代造纸工艺,101380,"0/101369/101380","现代造纸工艺,Modern papermaking technology"
轻化工类,家具设计与制作,101381,"0/101369/101381","家具设计与制作,Furniture design and production"
轻化工类,塑料成型,101382,"0/101369/101382","塑料成型,Plastic molding"
轻化工类,皮革工艺,101383,"0/101369/101383","皮革工艺,Leather craft"
轻化工类,钟表维修,101384,"0/101369/101384","钟表维修,Watch Repair"
轻化工类,化妆品工程技术,101385,"0/101369/101385","化妆品工程技术,Cosmetic Engineering Technology"
轻化工类,现代造纸工程技术,101386,"0/101369/101386","现代造纸工程技术,Modern Papermaking Engineering Technology"
建筑设备类,建筑智能化工程技术,101388,"0/101387/101388","建筑智能化工程技术,Building Intelligent Engineering Technology"
建筑设备类,建筑消防技术,101389,"0/101387/101389","建筑消防技术,Building fire protection technology"
建筑设备类,建筑智能化设备安装与运维,101390,"0/101387/101390","建筑智能化设备安装与运维,Installation and operation of building intelligent equipment"
建筑设备类,建筑水电设备安装与运维,101391,"0/101387/101391","建筑水电设备安装与运维,Installation and operation of building water and electricity equipment"
建筑设备类,供热通风与空调施工运行,101392,"0/101387/101392","供热通风与空调施工运行,Heating, ventilation and air conditioning construction and operation"
建筑设备类,建筑环境与能源工程,101393,"0/101387/101393","建筑环境与能源工程,Building Environment and Energy Engineering"
建筑设备类,建筑电气与智能化工程,101394,"0/101387/101394","建筑电气与智能化工程,Building electrical and intelligent engineering"
渔业类,水产养殖技术,101396,"0/101395/101396","水产养殖技术,Aquaculture Technology"
渔业类,海洋渔业技术,101397,"0/101395/101397","海洋渔业技术,Marine Fisheries Technology"
渔业类,水族科学与技术,101398,"0/101395/101398","水族科学与技术,Aquatic Science and Technology"
渔业类,水生动物医学,101399,"0/101395/101399","水生动物医学,Aquatic Animal Medicine"
渔业类,淡水养殖,101400,"0/101395/101400","淡水养殖,Freshwater aquaculture"
渔业类,海水养殖,101401,"0/101395/101401","海水养殖,Marine aquaculture"
渔业类,航海捕捞,101402,"0/101395/101402","航海捕捞,Sailing and fishing"
渔业类,现代水产养殖技术,101403,"0/101395/101403","现代水产养殖技术,Modern aquaculture technology"
医学类,法医学,101405,"0/101404/101405","法医学,Forensic Science"
医学类,公共卫生,101406,"0/101404/101406","公共卫生,Public Health"
医学类,公共卫生与预防医学,101407,"0/101404/101407","公共卫生与预防医学,Public Health and Preventive Medicine"
医学类,护理,101408,"0/101404/101408","护理,Nursing"
医学类,护理学,101409,"0/101404/101409","护理学,Nursing"
医学类,基础医学,101410,"0/101404/101410","基础医学,Basic Medicine"
医学类,口腔医学,101411,"0/101404/101411","口腔医学,Dentistry"
医学类,临床医学,101412,"0/101404/101412","临床医学,Clinical Medicine"
医学类,特种医学,101413,"0/101404/101413","特种医学,Specialty Medicine"
医学类,药学,101414,"0/101404/101414","药学,Pharmacy"
医学类,医学技术,101415,"0/101404/101415","医学技术,Medical Technology"
医学类,针灸,101416,"0/101404/101416","针灸,Acupuncture"
医学类,中西医结合,101417,"0/101404/101417","中西医结合,Combining Chinese and Western Medicine"
医学类,中药,101418,"0/101404/101418","中药,traditional Chinese medicine"
医学类,中药学,101419,"0/101404/101419","中药学,Chinese Medicine"
医学类,中医,101420,"0/101404/101420","中医,Traditional Chinese Medicine"
医学类,中医学,101421,"0/101404/101421","中医学,Traditional Chinese Medicine"
黑色金属材料类,钢铁智能冶金技术,101423,"0/101422/101423","钢铁智能冶金技术,Intelligent Steel Metallurgical Technology"
黑色金属材料类,智能轧钢技术,101424,"0/101422/101424","智能轧钢技术,Intelligent steel rolling technology"
黑色金属材料类,钢铁冶金设备维护,101425,"0/101422/101425","钢铁冶金设备维护,Iron and steel metallurgical equipment maintenance"
黑色金属材料类,金属材料检测技术,101426,"0/101422/101426","金属材料检测技术,Metal material testing technology"
黑色金属材料类,钢铁冶炼技术,101427,"0/101422/101427","钢铁冶炼技术,Steel smelting technology"
黑色金属材料类,钢铁装备运行与维护,101428,"0/101422/101428","钢铁装备运行与维护,Steel equipment operation and maintenance"
机械类,机械工程,101430,"0/101429/101430","机械工程,Mechanical Engineering"
机械类,机械设计制造及其自动化,101431,"0/101429/101431","机械设计制造及其自动化,Mechanical design, manufacturing and automation"
机械类,材料成型及控制工程,101432,"0/101429/101432","材料成型及控制工程,Material Forming and Control Engineering"
