标签名,公司名,公司别名
上市公司,恒天海龙股份有限公司,"恒天海龙股份有限公司,恒天海龙,CHTC HELON CO.,LTD.,山东潍坊海龙股份有限公司"
中国500强,恒安国际集团有限公司,"恒安国际集团有限公司,恒安国际"
上市公司,恒宝股份有限公司,"恒宝股份有限公司,HENGBAO CO.,LTD.,恒宝股份,江苏恒宝股份有限公司,江苏现代安全印制有限公司"
上市公司,恒康医疗集团股份有限公司,"恒康医疗集团股份有限公司,恒康医疗,Hengkang medical Group Co.,LTD.,甘肃独一味生物制药股份有限公司"
上市公司,恒泰艾普集团股份有限公司,"恒泰艾普集团股份有限公司,LandOcean Energy Services Co., LTD.,恒泰艾普,恒泰艾普石油天然气技术服务股份有限公司,北京恒泰伟业地球物理技术有限公司,北京恒泰艾普石油勘探开发技术有限公司"
"中国软件业务收入前百家企业,中国软件业务收入前百家企业,上市公司,中国金融科技竞争力100强",恒生电子股份有限公司,"恒生电子股份有限公司,恒生电子,杭州恒生电子股份有限公司"
上市公司,恒立实业发展集团股份有限公司,"恒立实业发展集团股份有限公司,恒立实业,HENGLI INDUSTRIAL DEVELOPMENT GROUP CO.,LTD,岳阳恒立冷气设备股份有限公司"
瞪羚企业,恒翼生物,
"上市公司,中国500强",恒逸石化股份有限公司,"恒逸石化股份有限公司,HENGYI PETROCHEMICAL CO., LTD,恒逸石化,北海国际招商股份有限公司"
上市公司,恒锋信息科技股份有限公司,"恒锋信息科技股份有限公司,HengFeng Information Technology Co.,Ltd.,恒锋信息,福建恒锋电子有限公司"
上市公司,恒锋工具股份有限公司,"恒锋工具股份有限公司,Est Tools Co., Ltd.,恒锋工具"
上市公司,恺英网络股份有限公司,"恺英网络股份有限公司,KINGNET NETWORK CO.,LTD.,恺英网络,泰亚(泉州)鞋业有限公司"
"中国药品研发综合实力100强,中国药品研发综合实力100强",悦康药业集团股份有限公司,
中国物业服务企业综合实力500强,惠之美生活服务集团有限公司,
上市公司,惠州中京电子科技股份有限公司,"惠州中京电子科技股份有限公司,Huizhou China Eagle Electronic Technology Co.,Ltd.,中京电子,CEE"
上市公司,惠州亿纬锂能股份有限公司,"惠州亿纬锂能股份有限公司,亿纬锂能,EVE Energy Co., Ltd."
全国高新区盈利能力百强,惠州仲恺高新技术产业开发区,
上市公司,惠州光弘科技股份有限公司,"惠州光弘科技股份有限公司,光弘科技,DBG Technology Co., Ltd.,惠州大亚湾光弘科技电子有限公司"
上市公司,惠州市华阳集团股份有限公司,"惠州市华阳集团股份有限公司,Foryou Corporation,华阳集团"
"全球汽车零部件配套供应商百强,全球汽车零部件配套供应商百强,上市公司",惠州市德赛西威汽车电子股份有限公司,"惠州市德赛西威汽车电子股份有限公司,德赛西威,Huizhou Desay SV Automotive Co., Ltd."
上市公司,惠州硕贝德无线科技股份有限公司,"惠州硕贝德无线科技股份有限公司,硕贝德,Huizhou Speed Wireless Technology Co.,Ltd."
世界500强,惠普公司,"惠普公司,HP,惠普,惠普（中国）有限公司,惠普科技北京有限公司,惠普科技(北京)有限公司"
区域百强,惠科股份有限公司,"惠科股份有限公司,惠科,HKC,惠科电子(深圳)有限公司,惠科股份"
上市公司,惠而浦(中国)股份有限公司,"惠而浦(中国)股份有限公司,惠而浦,Whirlpool (China) Co.,Ltd,合肥荣事达三洋电器股份有限公司"
独角兽,惠龙易通国际物流股份有限公司,"惠龙易通国际物流股份有限公司,惠龙国际,惠龙港国际钢铁物流股份有限公司,惠龙易通"
世界500强,意大利国家电力公司,"意大利国家电力公司,ENEL,意大利电力"
"全球保险品牌价值100强,世界500强",意大利忠利保险公司,"意大利忠利保险公司,ASSICURAZIONI GENERALI,意大利忠利集团,忠利集团,忠利保险"
世界500强,意大利电信,"意大利电信,TELECOM ITALIA,意大利忠利集团,忠利集团"
世界500强,意大利联合圣保罗银行,"意大利联合圣保罗银行,INTESA SANPAOLO,意大利联合圣保罗银行,意大利联合圣保罗银行股份有限公司上海分行,联合圣保罗"
"全球保险品牌价值100强,世界500强",意大利邮政集团,"意大利邮政集团,POSTE ITALIANE,意大利忠利集团,忠利集团,意大利邮政"
世界500强,意昂集团,"意昂集团,E.ON"
上市公司,慈文传媒股份有限公司,"慈文传媒股份有限公司,慈文传媒,CIWEN MEDIA Co.,Ltd."
"全球保险品牌价值100强,世界500强",慕尼黑再保险公司,"慕尼黑再保险公司,MUNICH RE GROUP,慕尼黑再保险"
世界500强,慧与公司,"慧与公司,HEWLETT PACKARD ENTERPRISE,慧与"
瞪羚企业,慧算账,
全球独角兽,懂车帝,
上市公司,成都三泰控股集团股份有限公司,"成都三泰控股集团股份有限公司,三泰,Chengdu Santai Holding Group Co., Ltd.,三泰控股,三泰电子实业股份有限公司,成都三泰电子实业股份有限公司,成都三泰控股"
上市公司,成都云图控股股份有限公司,"成都云图控股股份有限公司,Chengdu Wintrue Holding Co., Ltd.,云图控股,新都化工股份有限公司,成都市新都化工股份有限公司"
上市公司,成都佳发安泰科技股份有限公司,"成都佳发安泰科技股份有限公司,佳发安泰,Chengdu Jiafaantai Technology Co.,Ltd."
"中国药品研发综合实力100强,中国药品研发综合实力100强",成都倍特药业股份有限公司,
中国银行业100强,成都农商银行,
中国银行业100强,成都农村商业银行,
上市公司,成都利君实业股份有限公司,"成都利君实业股份有限公司,利君股份,Chengdu Leejun Industrial CO.,LTD.,成都市利君实业有限责任公司,利君实业"
上市公司,成都前锋电子股份有限公司,"成都前锋电子股份有限公司,*ST前锋,Chengdu Qianfeng Electronics Co.,Ltd.,前锋股份"
上市公司,成都华气厚普机电设备股份有限公司,"成都华气厚普机电设备股份有限公司,厚普股份,Chengdu HuaqiHoupu Holding Co.,Ltd.,华气厚普"
上市公司,成都华泽钴镍材料股份有限公司,"成都华泽钴镍材料股份有限公司,华泽,CHENGDU HUAZE COBALT&NICKEL MATERIAL CO., LTD,成都聚友网络股份有限公司,华泽钴镍"
上市公司,成都博瑞传播股份有限公司,"成都博瑞传播股份有限公司,Chengdu B-Ray Media Co.,Ltd.,博瑞传播"
上市公司,成都卫士通信息产业股份有限公司,"成都卫士通信息产业股份有限公司,Westone Information Industry Inc.,卫士通"
"中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",成都嘉诚新悦物业管理集团有限公司,
中国房地产百强企业,成都城投置地集团有限公司,
上市公司,成都天翔环境股份有限公司,"成都天翔环境股份有限公司,CHENGDU TECHCENT ENVIRONMENT CO., LTD.,天翔环境"
上市公司,成都富森美家居股份有限公司,"成都富森美家居股份有限公司,富森美,Chengdu Fusen Noble-House Industrial Co.,Ltd.,富森·美家居,成都富森美家居置业有限公司,富森美家居"
上市公司,成都市兴蓉环境股份有限公司,"成都市兴蓉环境股份有限公司,Chengdu Xingrong Environment Co., Ltd.,兴蓉环境,蓝星清洗股份有限公司"
"城际高铁和轨道交通建设企业50强,上市公司",成都市新筑路桥机械股份有限公司,"成都市新筑路桥机械股份有限公司,Chengdu Xinzhu Road&Bridge Machinery Co.,LTD,新筑股份"
上市公司,成都市贝瑞和康基因技术股份有限公司,"成都市贝瑞和康基因技术股份有限公司,Berry Genomics Co.,Ltd,贝瑞基因"
上市公司,成都市路桥工程股份有限公司,"成都市路桥工程股份有限公司,成都路桥,Chengdu Road & Bridge Engineering CO.,LTD."
"中国生物药研发实力50强,中国药品研发综合实力100强,中国药品研发综合实力100强,上市公司",成都康弘药业集团股份有限公司,"成都康弘药业集团股份有限公司,Chengdu Kanghong Pharmaceutical Group Co., Ltd,康弘药业"
"福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强",成都恒图科技(Fotor),
福布斯中国人工智能科技企业50强,成都恒图科技（Fotor）,
上市公司,成都振芯科技股份有限公司,"成都振芯科技股份有限公司,振芯科技,Chengdu CORPRO Technology Co.,Ltd.,成都国腾微电子有限公司,成都国腾电子技术股份有限公司"
上市公司,成都新易盛通信技术股份有限公司,"成都新易盛通信技术股份有限公司,成都新易盛通信技术有限公司,Eoptolink Technology Inc., Ltd,新易盛"
"全球独角兽,独角兽",成都新潮传媒集团股份有限公司,"新潮传媒集团,新潮传媒,成都新潮传媒集团股份有限公司"
上市公司,成都旭光电子股份有限公司,"成都旭光电子股份有限公司,旭光股份,国营旭光电子管厂,旭光电子"
"中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",成都欣立物业服务有限公司,
上市公司,成都泰合健康科技集团股份有限公司,"成都泰合健康科技集团股份有限公司,泰合健康,Chengdu Taihe health technology group Inc.,Ltd,华神集团,成都华神集团股份有限公司"
上市公司,成都深冷液化设备股份有限公司,"成都深冷液化设备股份有限公司,深冷股份,Chengdu Shenleng Liquefaction Plant Co.,Ltd.,成都深冷液化设备有限公司,成都深冷股份"
科技型中小企业,成都深鉴科技有限公司,
上市公司,成都爱乐达航空制造股份有限公司,"成都爱乐达航空制造股份有限公司,爱乐达,Chengdu ALD Aviation Manufacturing Corporation.,成都爱乐达航空设备制造有限公司,成都爱乐达"
中国药品研发综合实力100强,成都百裕制药股份有限公司,
上市公司,成都硅宝科技股份有限公司,"成都硅宝科技股份有限公司,Chengdu Guibao Science & Technology Co.,Ltd,硅宝科技,成都硅宝科技实业有限责任公司"
专精特新小巨人,成都科伦药业股份有限公司,
上市公司,成都红旗连锁股份有限公司,"成都红旗连锁股份有限公司,红旗连锁,Chengdu Hongqi Chain Co.,Ltd."
"中国药品研发综合实力100强,中国药品研发综合实力100强",成都苑东生物制药股份有限公司,
上市公司,成都西菱动力科技股份有限公司,"成都西菱动力科技股份有限公司,西菱动力,Chengdu Xiling Power Science & Technology Incorporated Company,成都市西菱汽车配件有限责任公司"
上市公司,成都运达科技股份有限公司,"成都运达科技股份有限公司,Chengdu Yunda Technology Co., Ltd.,运达科技,交大运达,成都交大运达信息技术有限公司"
上市公司,成都银河磁体股份有限公司,"成都银河磁体股份有限公司,Chengdu Galaxy Magnets Co.,Ltd.,银河磁体"
"中国银行业前100强,中国银行业100强",成都银行,
国家制造业单项冠军,成都飞机工业（集团）有限责任公司,
上市公司,成都高新发展股份有限公司,"成都高新发展股份有限公司,高新发展,CHENGDU Hi-Tech DEVELOPMENT GR0UP CO.,LTD"
全国高新区盈利能力百强,成都高新技术产业开发区,
世界500强,戴姆勒股份公司,"戴姆勒股份公司,DAIMLER,Mercedes-Benz奔驰,戴姆勒集团,迈巴赫,戴姆勒"
区域百强,戴尔(中国)有限公司,"戴尔(中国)有限公司,戴尔股份有限公司,外星人,dell1520,戴尔,DELL,戴尔中国"
世界500强,戴尔科技公司,"戴尔科技公司,DELL TECHNOLOGIES,戴尔"
世界500强,房利美,"房利美,FANNIE MAE"
世界500强,房地美,"房地美,FREDDIE MAC,房地美,freddie mac"
世界500强,托克集团,"托克集团,TRAFIGURA GROUP,托克"
中国500强,扬子江船业(控股)有限公司,扬子江船业(控股)有限公司
"中国药品研发综合实力100强,中国药品研发综合实力100强",扬子江药业集团有限公司,
上市公司,扬州亚星客车股份有限公司,"扬州亚星客车股份有限公司,亚星客车,Yangzhou Yaxing Motor Coach Co., Ltd."
上市公司,扬州扬杰电子科技股份有限公司,"扬州扬杰电子科技股份有限公司,扬杰科技,Yangzhou Yangjie Electronic Technology Co.,Ltd.,扬州扬杰电子科技有限公司"
上市公司,扬州晨化新材料股份有限公司,"扬州晨化新材料股份有限公司,晨化股份,YANGZHOU CHENHUA NEW MATERIAL CO., LTD.,扬州晨化科技集团有限公司"
全国高新区盈利能力百强,抚州高新技术产业开发区,
上市公司,抚顺特殊钢股份有限公司,"抚顺特殊钢股份有限公司,抚顺特钢,抚顺特殊钢有限公司"
上市公司,报喜鸟控股股份有限公司,"报喜鸟控股股份有限公司,报喜鸟,BAOXINIAO HOLDING CO.,LTD.,报喜鸟服饰股份有限公司,报喜鸟集团有限公司,D&amp;X,浙江报喜鸟服饰股份有限公司"
大厂经验,拉扎斯网络科技(上海)有限公司,"拉扎斯网络科技(上海)有限公司,饿了么"
瞪羚企业,拓烯科技,
上市公司,拓维信息系统股份有限公司,"拓维信息系统股份有限公司,拓维信息,TALKWEB INFORMATION SYSTEM CO.,LTD.,长沙拓维信息系统股份有限公司,湖南拓维信息系统有限公司,湖南省拓维信息系统有限公司,湖南拓维信息系统股份有限公司"
全球资管500强,招商基金,
2025年第二季度末公募机构非货规模50强,招商基金管理有限公司,
上市公司,招商局公路网络科技控股股份有限公司,"招商局公路网络科技控股股份有限公司,招商公路,China Merchants Expressway Network Technology Holdings Co., Ltd."
中国房地产企业综合实力100强,招商局地产,
"中国物业增值服务运营领先企业,中国行政办公物业服务领先企业,中国物业服务企业综合实力500强",招商局积余产业运营服务股份有限公司,
上市公司,招商局能源运输股份有限公司,"招商局能源运输股份有限公司,招商轮船,China Merchants Energy Shipping Co., Ltd."
"中国房地产企业综合实力100强,中国房地产企业稳健经营100强,中国房地产品牌价值前十名,地产百强,中国房地产百强企业,上市公司,中国500强",招商局蛇口工业区控股股份有限公司,"招商局蛇口工业区控股股份有限公司,招商蛇口,CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD,招商局蛇口工业区有限公司"
中国最好的期货公司,招商期货,
"上市公司,中国500强",招商证券股份有限公司,"招商证券股份有限公司,China Merchants Securities Co., Ltd.,招商证券,国通证券有限责任公司"
"中国银行业前100强,上市公司,《财富》中国500强,上市公司,世界500强,中国银行业100强,区域百强",招商银行股份有限公司,"招商银行,China Merchants Bank,招商银行股份有限公司"
世界500强,拜耳集团,"拜耳集团,BAYER"
瞪羚企业,拨云生物,
世界500强,挪威国家石油公司,"挪威国家石油公司,STATOIL,挪威石油"
上市公司,振兴生化股份有限公司,"振兴生化股份有限公司,生化,Zhenxing Biopharmaceutical & Chemical Inc,振兴生化"
瞪羚企业,捍宇医疗,
世界500强,损保控股有限公司,"损保控股有限公司,SOMPO HOLDINGS"
全球保险品牌价值100强,损保日本兴亚,
上市公司,探路者控股集团股份有限公司,"探路者控股集团股份有限公司,Toread  Holdings Group  Co., Ltd.,探路者,北京探路者户外用品股份有限公司,北京探路者旅游用品有限公司"
上市公司,搜于特集团股份有限公司,"搜于特集团股份有限公司,搜于特,SOUYUTE GROUP CO.,LTD.,搜于特服装股份有限公司,东莞市搜于特服装股份有限公司,潮流前线"
中国500强,携程国际有限公司,"携程国际有限公司,携程旅行,Ctrip"
"《财富》中国500强净利润率10强,中国500强,大厂经验",携程旅游信息技术(上海)有限公司,"携程旅游信息技术(上海)有限公司,携程,Ctrip.com,驴评网,上海全旅网络科技有限公司,携程旅行"
中国软件业务收入前百家企业,携程旅游网络技术（上海）有限公司,
2025年第二季度末公募机构非货规模50强,摩根基金管理（中国）有限公司,
世界500强,摩根士丹利,"摩根士丹利,MORGAN STANLEY"
世界500强,摩根大通公司,"摩根大通公司,JPMORGAN CHASE & CO.,摩根大通"
全球资管500强,摩根资管,
上市公司,摩登大道时尚集团股份有限公司,"摩登大道时尚集团股份有限公司,摩登大道,Modern Avenue Group Co., Ltd.,卡奴迪路,CANUDILO,广州卡奴迪路服饰股份有限公司,摩登大道时尚电子商务有限公司,广州伊狮路贸易有限公司,摩登大道时尚集团"
全国高新区盈利能力百强,攀枝花钒钛高新技术产业开发区,
上市公司,攀钢集团钒钛资源股份有限公司,"攀钢集团钒钛资源股份有限公司,Pangang Group Vanadium Titanium & Resources Co., Ltd.,钒钛,攀枝花新钢钒股份有限公司,攀钢钒钛"
"大厂经验,独角兽",支付宝(中国)网络技术有限公司,"支付宝(中国)网络技术有限公司,支付宝"
区域百强,敏华家具制造(惠州)有限公司,"敏华家具制造(惠州)有限公司,敏华控股,敏华家具"
"全球汽车零部件配套供应商百强,全球汽车零部件配套供应商百强",敏实集团,
"中国房地产企业综合实力100强,地产百强",敏捷集团有限公司,"敏捷集团有限公司,敏捷集团,敏捷有限公司"
全球保险品牌价值100强,教保生命保险,
"福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强,瞪羚企业",数传集团,
中国金融科技竞争力100强,数势科技,
上市公司,数源科技股份有限公司,"数源科技股份有限公司,数源科技,SOYEA TECHNOLOGY CO., LTD"
瞪羚企业,数禾信息,
瞪羚企业,数美科技,
上市公司,文一三佳科技股份有限公司,"文一三佳科技股份有限公司,中发科技,文一三佳"
"中国软件业务收入前百家企业,中国软件业务收入前百家企业",文思海辉技术有限公司,
上市公司,文投控股股份有限公司,"文投控股股份有限公司,文投控股,Cultural Investment Holdings Co.,Ltd,哈尔滨文交所投资集团有限公司"
中国物业服务企业500强优选服务商智慧物业领域品牌,文达通,
全球独角兽,文远知行,
瞪羚企业,斑布,
瞪羚企业,斗象科技,
世界500强,斯伦贝谢公司,"斯伦贝谢公司,SCHLUMBERGER,斯伦贝谢"
上市公司,斯太尔动力股份有限公司,"斯太尔动力股份有限公司,斯太尔,Steyr Motors corp.,斯太尔动力有限公司"
世界500强,斯巴鲁公司,"斯巴鲁公司,SUBARU,斯巴鲁"
瞪羚企业,斯维登,
瞪羚企业,斯达领科,
上市公司,新乡化纤股份有限公司,"新乡化纤股份有限公司,新乡化纤,XINXIANG CHEMICAL FIBER CO., LTD"
全国高新区盈利能力百强,新乡高新技术产业开发区,
"上市公司,中国500强",新余钢铁股份有限公司,"新余钢铁股份有限公司,新钢股份,Xinyu Iron&Steel Co.,Ltd."
全国高新区盈利能力百强,新余高新技术产业开发区,
上市公司,新光圆成股份有限公司,"新光圆成股份有限公司,新光圆成,Neoglory prosperity Inc.,马鞍山方圆回转支承股份有限公司"
"上市公司,中国500强",新兴铸管股份有限公司,"新兴铸管股份有限公司,新兴铸管,XINXING DUCTILE IRON PIPES CO., LTD"
世界500强,新兴际华集团,"新兴际华集团,XINXING CATHAY INTERNATIONAL GROUP,际华户外,新兴际华"
区域百强,新凤鸣集团股份有限公司,"新凤鸣集团股份有限公司,新凤鸣集团有限公司,新凤鸣"
瞪羚企业,新创元,
地产百强,新力控股(集团)有限公司,"新力控股(集团)有限公司,新力地产,新力集团"
"中国住宅物业服务领先企业,中国品质物业服务领先企业,中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",新力物业集团有限公司,
"中国软件业务收入前百家企业,中国软件业务收入前百家企业,中国VR50强企业",新华三技术有限公司,
全球保险品牌价值100强,新华人寿,
"世界500强,中国500强,区域百强",新华人寿保险股份有限公司,"新华人寿保险股份有限公司,NEW CHINA LIFE INSURANCE,新华人寿保险"
上市公司,新华联文化旅游发展股份有限公司,"新华联文化旅游发展股份有限公司,新华联,MACROLINK CULTURALTAINMENT DEVELOPMENT CO., LTD."
全球资管500强,新华资产,
"上市公司,区域百强",新华都购物广场股份有限公司,"新华都购物广场股份有限公司,新华都,NEW HUA DU SUPERCENTER CO.,LTD.,亨事达"
"中国VR50强企业,VR50强企业",新国脉（江西）虚拟现实科技有限公司,
"中国房地产企业综合实力100强,中国房地产企业稳健经营100强,中国房地产百强企业,中国500强,地产百强",新城发展控股有限公司,"新城发展控股有限公司,新城控股,新城发展"
"中国物业增值服务运营领先企业,中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",新城悦服务集团有限公司,
"中国学校物业服务领先企业,中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",新大正物业集团股份有限公司,
上市公司,新大洲控股股份有限公司,"新大洲控股股份有限公司,新大洲,SUNDIRO HOLDING CO., LTD."
"中国软件业务收入前百家企业,中国软件业务收入前百家企业",新大陆科技集团有限公司,
上市公司,新天国际经贸股份有限公司,"新天国际经贸股份有限公司,中葡"
上市公司,新天科技股份有限公司,"新天科技股份有限公司,SUNTRONT TECHNOLOGY CO.,LTD.,新天科技,河南新天科技股份有限公司,河南新天科技有限公司"
上市公司,新奥生态控股股份有限公司,"新奥生态控股股份有限公司,新奥股份,Enn Ecological Holdings Co.,Ltd,威远,河北威远实业股份有限公司"
中国500强,新奥能源控股有限公司,"新奥能源控股有限公司,新奥能源,ENN,XINAO GAS HOLDINGS LIMITED(法团名称)新奥燃气"
中国物业服务企业500强优选服务商智慧物业领域品牌,新客通,
中国房地产百强企业,新希望五新实业集团有限公司,
"上市公司,中国500强",新希望六和股份有限公司,"新希望六和股份有限公司,New Hope Liuhe Co., Ltd.,新希望,新希望六和,四川新希望农业股份有限公司"
上市公司,新开普电子股份有限公司,"新开普电子股份有限公司,新开普,Newcapec Electronics Co., Ltd.,郑州新开普电子股份有限公司"
世界500强,新日铁住金,"新日铁住金,NIPPON STEEL & SUMITOMO METAL"
上市公司,新晨科技股份有限公司,"新晨科技股份有限公司,新晨科技,Brilliance Technology Co., Ltd."
"世界500强,中国500强,大厂经验",新浪网技术(中国)有限公司,"新浪网技术(中国)有限公司,SINA,新浪"
上市公司,新海宜科技集团股份有限公司,"新海宜科技集团股份有限公司,新海宜,SUZHOU NEW SEA UNION TELECOM TECHNOLOGY CO., LTD."
"上市公司,中国500强",新湖中宝股份有限公司,"新湖中宝股份有限公司,新湖中宝,Xinhu Zhongbao Co.,Ltd.,中宝戴梦得投资股份有限公司"
瞪羚企业,新爱体育,
上市公司,新界泵业集团股份有限公司,"新界泵业集团股份有限公司,SHIMGE PUMP INDUSTRY GROUP CO.,LTD.,新界泵业,浙江新界泵业股份有限公司,台州新界泵业有限公司,浙江新界泵业有限公司"
"上市公司,中国500强",新疆中泰化学股份有限公司,"新疆中泰化学股份有限公司,中泰化学,XINJIANG ZHONGTAI CHEMICAL CO.,LTD.,新疆中泰化学(集团)股份有限公司"
上市公司,新疆伊力特实业股份有限公司,"新疆伊力特实业股份有限公司,伊力特,Xinjiang Yilite Industry Co.,Ltd,伊力特股票"
上市公司,新疆众和股份有限公司,"新疆众和股份有限公司,新疆众和,Xinjiang Joinworld Co.,Ltd.,众和股份"
上市公司,新疆八一钢铁股份有限公司,"新疆八一钢铁股份有限公司,八一钢铁,八钢"
上市公司,新疆冠农果茸集团股份有限公司,"新疆冠农果茸集团股份有限公司,冠农股份,Xinjiang Guannong Fruit & Antler Group Co.,Ltd."
上市公司,新疆准东石油技术股份有限公司,"新疆准东石油技术股份有限公司,Xinjiang Zhundong Petroleum Technology Co., Ltd.,准油,准油股份"
上市公司,新疆北新路桥集团股份有限公司,"新疆北新路桥集团股份有限公司,Xinjiang Beixin Road & Bridge Group Co., Ltd.,北新路桥,新疆北新路桥建设股份有限公司,新疆北新路桥"
上市公司,新疆友好(集团)股份有限公司,"新疆友好(集团)股份有限公司,友好集团,Xinjiang Youhao(Group) Co.,Ltd,新疆友好集团股份有限公司"
上市公司,新疆合金投资股份有限公司,"新疆合金投资股份有限公司,合金投资,XINJIANG HEJIN HOLDING CO.,LTD,沈阳合金投资股份有限公司"
上市公司,新疆同济堂健康产业股份有限公司,"新疆同济堂健康产业股份有限公司,啤酒花(同济堂医药借壳),同济堂,同济堂(贵州同济堂),新疆啤酒花股份有限公司"
上市公司,新疆国统管道股份有限公司,"新疆国统管道股份有限公司,国统股份,XINJIANG GUOTONG PIPELINE CO.,LTD,新疆建材工业设计院"
上市公司,新疆国际实业股份有限公司,"新疆国际实业股份有限公司,国际实业,XINJIANG INTERNATIONAL INDUSTRY CO.,LTD,新疆国际实业"
上市公司,新疆塔里木农业综合开发股份有限公司,"新疆塔里木农业综合开发股份有限公司,新农开发"
上市公司,新疆天业(集团)有限公司,"新疆天业(集团)有限公司,新疆天业,天业"
上市公司,新疆天富能源股份有限公司,"新疆天富能源股份有限公司,天富热电,天富能源"
上市公司,新疆天山水泥股份有限公司,"新疆天山水泥股份有限公司,天山股份,XINJIANG TIANSHAN CEMENT CO.,LTD"
上市公司,新疆天山畜牧生物工程股份有限公司,"新疆天山畜牧生物工程股份有限公司,天山生物,XINJIANG TIANSHAN ANIMAL HUSBANDRY BIO-ENGINEERING CO.,LTD"
上市公司,新疆天润乳业股份有限公司,"新疆天润乳业股份有限公司,新疆天宏,天润乳业"
上市公司,新疆天顺供应链股份有限公司,"新疆天顺供应链股份有限公司,XinJiang Tianshun Supply Chain CO.,LTD.,天顺股份"
世界500强,新疆广汇实业投资(集团)有限责任公司,"新疆广汇实业投资(集团)有限责任公司,XINJIANG GUANGHUI INDUSTRY INVESTMENT,新疆广汇集团,新疆广汇企业(集团)有限责任公司,乌鲁木齐市广汇工贸实业,广汇集团"
上市公司,新疆库尔勒香梨股份有限公司,"新疆库尔勒香梨股份有限公司,香梨股份,库尔勒香梨"
上市公司,新疆机械研究院股份有限公司,"新疆机械研究院股份有限公司,新研股份,Xinjiang Machinery Research Institute Co.,Ltd,牧神,新疆机械研究院(有限责任公司)"
上市公司,新疆浩源天然气股份有限公司,"新疆浩源天然气股份有限公司,新疆浩源,XinJiang Haoyuan Natural Gas Co.,LTD."
上市公司,新疆熙菱信息技术股份有限公司,"新疆熙菱信息技术股份有限公司,熙菱信息,Xinjiang Sailing Information Technology Co., Ltd,新疆熙菱信息技术有限公司,新疆西菱信息技术有限公司"
全国高新区盈利能力百强,新疆生产建设兵团石河子高新技术产业开发区,
上市公司,新疆百花村股份有限公司,"新疆百花村股份有限公司,Xin Jiang Bai Hua Cun Co.,Ltd,百花村"
上市公司,新疆西部牧业股份有限公司,"新疆西部牧业股份有限公司,西部牧业,Xinjiang Western Animal Husbandry Co.,Ltd"
上市公司,新疆贝肯能源工程股份有限公司,"新疆贝肯能源工程股份有限公司,Xinjiang Beiken Energy Engineering Stock Co.,Ltd.,贝肯能源"
上市公司,新疆赛里木现代农业股份有限公司,"新疆赛里木现代农业股份有限公司,新赛股份,赛里木"
"上市公司,中国500强",新疆金风科技股份有限公司,"新疆金风科技股份有限公司,金风科技,XINJIANG GOLDWIND SCIENCE&TECHNOLOGY CO.,LTD,金风科技[002202],金风科技股份有限公司,新疆金风科技股份有限公司(法团名称)Xinjiang"
上市公司,新疆青松建材化工(集团)股份有限公司,"新疆青松建材化工(集团)股份有限公司,青松建化,新疆青松建材化工股份有限公司,新疆青松建材化工（集团）股份有限公司"
驰名商标,新百丽鞋业(深圳)有限公司,
独角兽,新美大,"新美大,美团-大众点评(新美大),美团"
瞪羚企业,新芯航途,
中国物业服务企业500强优选服务商智慧物业领域品牌,新视窗,
中国房地产百强企业,新鸿基地产发展有限公司,
上市公司,方大炭素新材料科技股份有限公司,"方大炭素新材料科技股份有限公司,方大炭素"
"上市公司,国家制造业单项冠军",方大特钢科技股份有限公司,"方大特钢科技股份有限公司,方大特钢"
"上市公司,区域百强",方大集团股份有限公司,"方大集团股份有限公司,方大集团,CHINA FANGDA GROUP CO., LTD,上海方大建筑设计事务所"
上市公司,方正科技集团股份有限公司,"方正科技集团股份有限公司,方正科技"
世界500强,施耐德电气,"施耐德电气,SCHNEIDER ELECTRIC"
瞪羚企业,旅悦,
全球保险品牌价值100强,旅行者保险,
上市公司,无锡先导智能装备股份有限公司,"无锡先导智能装备股份有限公司,WUXI LEAD INTELLIGENT EQUIPMENT CO.,LTD,先导智能,无锡先导自动化设备股份有限公司"
上市公司,无锡华东重型机械股份有限公司,"无锡华东重型机械股份有限公司,华东重机,WUXI HUADONG HEAVY MACHINERY CO.,LTD.,无锡华东重型机械有限公司"
上市公司,无锡华光锅炉股份有限公司,"无锡华光锅炉股份有限公司,华光股份,无锡华光锅炉厂"
上市公司,无锡双象超纤材料股份有限公司,"无锡双象超纤材料股份有限公司,双象股份,WUXI DOUBLE ELEPHANT MICRO FIBRE MATERIAL CO.,LTD,无锡双象超纤材料有限公司"
上市公司,无锡和晶科技股份有限公司,"无锡和晶科技股份有限公司,和晶科技,Wuxi Hodgen Technology Co.,Ltd,无锡和晶科技有限公司"
"全球保险品牌价值100强,上市公司",无锡商业大厦大东方股份有限公司,"无锡商业大厦大东方股份有限公司,大厦股份,无锡商业大厦股份有限公司,大东方"
中国物业服务企业综合实力500强,无锡太湖世家物业服务有限公司,
