"一级","二级","职位名","职位id","职位编码","别名"
项目/质量/高级管理,质量管理/安全防护,质量管理 (QA/QC主管),104542,"0/104401/104537/104542","质量管理 (QA/QC主管),质管部长,质量经理,QUALITY SUPERVISOR,QC经理,品质部长,品保副理,QA SUPERVISOR,QUALITY MANAGEMENT,QA组长,品控负责人,QUALITY LEADER,质检经理,质管负责人,品管主管,品质课长,质监经理,品控主任,品保主管,品控部长,质检科长,QC部长,质控部长,品管主任,QA课长,QUALITY MANAGER,QA MANAGER,品质科长,品质主任,品保经理,品检经理,品管科长,品控组长,QC主管,QC SUPERVISOR,质保部长,QC科长,品保科长,品管课长,品管部长,质管经理,品管负责人,QC负责人,质量科长,品保部长,QA主管,品质班长,质检主管,质管主任,质保经理,品质系长,QA经理,QE主任,质控经理,品控经理,质量主管,QC组长,质量负责人,QE主管,品保课长,品控主管,QA负责人,质监主任,质管主管,品质经理,品检主管,品保主任,QE经理,QC MANAGER,质检部长,品控管理,质检组长,质控主管,品质主管,质控负责人,QA主任,品管经理,质检主任,品检组长,品管"
项目/质量/高级管理,质量管理/安全防护,质量总监 (QA/QC),104543,"0/104401/104537/104543","质量总监 (QA/QC),品控总监,品质总监,QUALITY DIRECTOR,QC DIRECTOR,质检总监,QC总监,QUALITY HEAD,品管总监,品保总监,质量总监,QA DIRECTOR,品质副总,QA总监,QUALITY VP,Quality Director (QA/QC)"
项目/质量/高级管理,质量管理/安全防护,质量工程师 (QA/QC),104544,"0/104401/104537/104544","质量工程师 (QA/QC),QE工程师,质量工程师,质检师,质量专家,质保工程师,品管工程师,品质工程师,质检专家,QA工程师,QUALITIY ENGINEER,QA ENGINEER,品检工程师,QC ENGINEER,QC工程师,QE ENGINEER,QA SPECIALIST,QC SPECIALIST,QUALITY SPECIALIST,QE SPECIALIST,Quality Engineer (QA/QC)"
项目/质量/高级管理,质量管理/安全防护,质量助理 (QA/QC),104545,"0/104401/104537/104545","质量助理 (QA/QC),QUALITY ASSISTANT,品控官,质量员,QC ASSISTANT,品控员,QC助理,品质助理,QE员,质管助理,质检员,品保助理,QA OFFICER,QC员,QA助理,品保员,品质员,QC ASSOCIATE,品质担当,质检助理,质量助理,质控员,质管员,QA AUDITOR,品控助理,品检员,QA担当,品管,QA员,Quality Assistant (QA/QC)"
项目/质量/高级管理,质量管理/安全防护,可靠度工程师,104546,"0/104401/104537/104546","可靠度工程师,可靠工程师,RAMS ENGINEER,Reliability Engineer"
项目/质量/高级管理,质量管理/安全防护,体系管理,104547,"0/104401/104537/104547","体系管理,体系课长,QUALITY SYSTEM SUPERVISOR,体系科长,体系总监,体系主任,体系主管,体系经理,体系负责人,System Management"
项目/质量/高级管理,质量管理/安全防护,体系工程师,104548,"0/104401/104537/104548","体系工程师,QUALITY SYSTEM ENGINEER,QUALITY SYSTEMS ENGINEER,System Engineer"
项目/质量/高级管理,质量管理/安全防护,体系员,104549,"0/104401/104537/104549","体系员,体系助理,体系担当,QUALITY SYSTEM SPECIALIST,System staff"
项目/质量/高级管理,质量管理/安全防护,认证管理,104550,"0/104401/104537/104550","认证管理,认证主管,认证部长,认证经理,CERTIFICATION SUPERVISOR,认证主任,Certification Management"
项目/质量/高级管理,质量管理/安全防护,认证工程师,104551,"0/104401/104537/104551","认证工程师,CERTIFICATION ENGINEER,CCC工程师,CE ENGINEER,CE工程师,3C工程师,Certified Engineer"
项目/质量/高级管理,质量管理/安全防护,认证员,104552,"0/104401/104537/104552","认证员,CCAA,认证专员,认证助理,CE员,Certification Officer"
项目/质量/高级管理,质量管理/安全防护,供应商/采购质量管理,104553,"0/104401/104537/104553","供应商/采购质量管理,SUPPLIER QUALITY MANAGER,供应商管理经理,供应商管理主管,SQE经理,IQC科长,SQA MANAGER,供应商管理科长,IQC主管,IQC组长,供应商管理部长,SQE科长,SUPPLIER QUALITY LEADER,供应商管理组长,SQE课长,SQE MANAGER,SQE主管,SQE主任,供应商质量主管,IQC系长,供应商品质管理,供应商管理岗,采购体系管理岗,供应商质量管理,供应商管理总监,Supplier/Purchasing Quality Management"
项目/质量/高级管理,质量管理/安全防护,供应商/采购质量管理工程师,104554,"0/104401/104537/104554","供应商/采购质量管理工程师,供应商管理专家,SQE工程师,SUPPLIER QUALITY ENGINEER,SQA ENGINEER,IQC工程师,SQA工程师,供应商质量工程师,SQE ENGINEER,采购质量工程师,供应商管理工程师,供应商管理师,Supplier/Purchasing Quality Management Engineer"
项目/质量/高级管理,质量管理/安全防护,供应商/采购质量管理员,104555,"0/104401/104537/104555","供应商/采购质量管理员,供应商管理担当,SUPPLIER QUALITY SPECIALIST,SQE助理,SQE担当,供应商管理员,IQC员,IQC助理,采购品质担当,供应商品质担当,Supplier/Purchasing Quality Manager"
项目/质量/高级管理,质量管理/安全防护,故障分析工程师,104556,"0/104401/104537/104556","故障分析工程师,FA经理,质量分析工程师,失效分析员,失效分析师,FAILURE ANALYSIS ENGINEER,FA ENGINEER,失效分析工程师,失效分析主任,FAE工程师,FA工程师"
项目/质量/高级管理,质量管理/安全防护,安全消防主管,104557,"0/104401/104537/104557","安全消防主管,消防管理,消防课长,消防主管,安防主管,消防队长,安防经理,安防主任,消防经理,消防负责人,Safety and fire protection supervisor"
项目/质量/高级管理,质量管理/安全防护,安全消防,104558,"0/104401/104537/104558","安全消防,消防员,安防员,安防岗,消防工,消防工程师,安防工程师,消防助理,消防当担,FIRE COMMISSIONER,消防专员,Safety and fire protection"
项目/质量/高级管理,质量管理/安全防护,审核员,104559,"0/104401/104537/104559","审核员,外审员,审核岗,复审员,督检员,审核支持,内审员,审核工程师,督查员,审核助理,审查员,稽查员,Auditor"
项目/质量/高级管理,质量管理/安全防护,审核管理,104560,"0/104401/104537/104560","审核管理,审核总监,审核主管,复审主管,审核经理,审核组长,复审经理,督查主管,Audit Management"
项目/质量/高级管理,质量管理/安全防护,化验/检验,104561,"0/104401/104537/104561","化验/检验,化验助理,检验士,化验工程师,检验专家,检测工,检测工程师,化验员,检验员,检验师,检测员,Laboratory/Testing"
项目/质量/高级管理,质量管理/安全防护,化验/检验管理,104562,"0/104401/104537/104562","化验/检验管理,检验组长,检验主管,检测主任,化验主任,化验主管,化验组长,Laboratory/inspection management"
房地产/建筑/物业,设计类,室内设计师,104601,"0/101601/101660/104601","室内设计师,室内设计员,室内设计助理,室内设计专家,Interior Designer"
房地产/建筑/物业,设计类,装饰设计师,104602,"0/101601/101660/104602","装饰设计师,装饰设计员,装饰设计专家,装饰设计助理,Decoration designer"
房地产/建筑/物业,设计类,门窗设计师,104603,"0/101601/101660/104603","门窗设计师,门窗设计员,门窗设计助理,门窗设计专家,Door and window designer"
房地产/建筑/物业,成本/造价/预算类,合约工程师,104604,"0/101601/101702/104604","合约工程师,合约师,合约员,合约助理,Contract Engineer"
房地产/建筑/物业,成本/造价/预算类,合约经理/主管,104605,"0/101601/101702/104605","合约经理/主管,合约主管,合约主任,合约经理,合约管理,合约负责人,Contract Manager/Supervisor"
房地产/建筑/物业,成本/造价/预算类,招标代理人员,104606,"0/101601/101702/104606","招标代理人员,招标代理,Tendering agent"
房地产/建筑/物业,工程管理类,安装/水电主管,104607,"0/101601/101604/104607","安装/水电主管,安装主管,安装经理,安装主任,安装负责人,水电主管,水电经理,水电主任,水电负责人,Installation/Hydropower Supervisor"
房地产/建筑/物业,工程管理类,给排水工程师,104701,"0/101601/101604/104701","给排水工程师,给排水,Water supply and drainage engineer"
房地产/建筑/物业,前期开发,报批报建经理,104702,"0/101601/104005/104702","报批报建经理,报批经理,报批主管,报批主任,报批负责人,报建经理,报建主管,报建主任,报建负责人,前期经理,前期主管,Approval and Construction Manager"
房地产/建筑/物业,前期开发,报批报建总监,104703,"0/101601/104005/104703","报批报建总监,报批总监,报批总经理,报建总监,报建总经理,前期总监,开发报建总,Approval and Construction Director"
房地产/建筑/物业,前期开发,报批报建岗,104704,"0/101601/104005/104704","报批报建岗,报批岗,报批员,报建岗,报建员,开发报建,前期专员,报建助理,报批助理,Approval and constructio"
房地产/建筑/物业,前期开发,配套工程师,104705,"0/101601/104005/104705","配套工程师,配套,Supporting Engineer"
销售/客服/市场,市场,市场推广经理/主管,104706,"0/103101/103224/104706","市场推广经理/主管,市场推广经理,市场推广主管,市场推广负责,市场推广/地推,Marketing Promotion Manager/Supervisor"
销售/客服/市场,市场,市场推广专员/助理,104707,"0/103101/103224/104707","市场推广专员/助理,市场推广,市场推广/地推,Marketing Specialist/Assistant"
房地产/建筑/物业,销售类,房地产中介,104708,"0/101601/104007/104708","房地产中介,房中介,Real Estate Agency"
房地产/建筑/物业,监理类,工程监理经理/主管,104709,"0/101601/104008/104709","工程监理经理/主管,监理经理,监理主任,监理主管,监理管理,监理负责人,Project Supervision Manager/Supervisor"
房地产/建筑/物业,拿地,投资拿地专员/助理,104710,"0/101601/101602/104710","投资拿地专员/助理,拿地员,投资拓展员,投资扩展员,投资发展员,投资开发员,土地员,土地岗,土地顾问,土地专家,拿地专家,拿地顾问,拿地岗,投资发展岗,投资发展顾问,投资发展专家,投资开发岗,投资开发顾问,投资开发专家,投资扩展岗,投资扩展顾问,投资扩展专家,投资拓展岗,投资拓展顾问,投资拓展专家,土地助理,投资发展助理,投资开发助理,投资扩展助理,投资拓展助理,拿地助理,Investment and Land Acquisition Specialist/Assistant"
房地产/建筑/物业,拿地,投资拿地总监,104711,"0/101601/101602/104711","投资拿地总监,土地总监,土地总经理,土地副总,投资发展副总,投资发展总监,投资发展总经理,投资开发总监,投资开发副总,投资开发总经理,投资扩展副总,投资扩展总监,投资扩展总经理,投资拓展副总,投资拓展总监,投资拓展总经理,拿地副总,拿地总监,拿地总经理,Investment and Land Acquisition Director"
房地产/建筑/物业,物业管理,物业管理经理/主管,104713,"0/101601/104712/104713","物业管理经理/主管,物业主管,物业主任,物业负责人,物业经理,Property Management Manager/Supervisor"
房地产/建筑/物业,物业管理,物业管理助理,104714,"0/101601/104712/104714","物业管理助理,物业助理,物业员,Property Management Assistant"
房地产/建筑/物业,设计类,结构设计师,104715,"0/101601/101660/104715","结构设计师,结构设计专家,结构设计助理,结构设计员,Structural Designer"
房地产/建筑/物业,物业管理,物业管理总监,104716,"0/101601/104712/104716","物业管理总监,总物业经理,物业总监,物业总经理,Property Management Director"
房地产/建筑/物业,设计类,路桥设计师,104717,"0/101601/101660/104717","路桥设计师,路桥设计专家,路桥设计员,路桥设计助理,Road and bridge designer"
房地产/建筑/物业,物业管理,前介主管,104718,"0/101601/104712/104718","前介主管,前介经理,前介部长,前期介入主管,前期介入经理,前期介入部长,Former Supervisor"
房地产/建筑/物业,物业管理,前介工程师,104719,"0/101601/104712/104719","前介工程师,前期介入工程师,前期介入员,前介员,Former Engineer"
房地产/建筑/物业,物业管理,保安经理,104720,"0/101601/104712/104720","保安经理,保安主管,警卫主管,保安队长,保安班长,保安领班,Security Manager"
房地产/建筑/物业,物业管理,停车管理员,104722,"0/101601/104712/104722","停车管理员,收费岗,收费员,停车员,秩序员,Parking Administrator"
房地产/建筑/物业,物业管理,保洁,104723,"0/101601/104712/104723","保洁,清洁,Cleaner"
房地产/建筑/物业,物业管理,绿化,104724,"0/101601/104712/104724","绿化,环卫,Greenery"
房地产/建筑/物业,设计类,钢结构设计经理/主管,104725,"0/101601/101660/104725","钢结构设计经理/主管,钢结构设计主任,钢结构设计经理,钢结构设计主管,钢结构设计管理,钢结构设计负责人,Steel Structure Design Manager/Supervisor"
房地产/建筑/物业,设计类,门窗设计经理/主管,104726,"0/101601/101660/104726","门窗设计经理/主管,门窗设计主任,门窗设计主管,门窗设计管理,门窗设计经理,门窗设计负责人,Door and Window Design Manager/Supervisor"
房地产/建筑/物业,设计类,路桥设计经理/主管,104727,"0/101601/101660/104727","路桥设计经理/主管,路桥设计主任,路桥设计主管,路桥设计经理,路桥设计管理,路桥设计负责人,Road and Bridge Design Manager/Supervisor"
房地产/建筑/物业,设计类,规划设计经理/主管,104728,"0/101601/101660/104728","规划设计经理/主管,规划设计主任,规划设计主管,规划设计经理,规划设计管理,规划设计负责人,Planning and Design Manager/Supervisor"
房地产/建筑/物业,设计类,装饰设计经理/主管,104729,"0/101601/101660/104729","装饰设计经理/主管,装饰设计主任,装饰设计主管,装饰设计经理,装饰设计管理,装饰设计负责人,Decoration Design Manager/Supervisor"
房地产/建筑/物业,设计类,结构设计经理/主管,104730,"0/101601/101660/104730","结构设计经理/主管,结构设计主任,结构设计主管,结构设计经理,结构设计管理,结构设计负责人,Structural Design Manager/Supervisor"
房地产/建筑/物业,设计类,室内设计经理/主管,104731,"0/101601/101660/104731","室内设计经理/主管,室内设计主任,室内设计主管,室内设计管理,室内设计经理,室内设计负责人,Interior Design Manager/Supervisor"
房地产/建筑/物业,物业管理,物业维修员,104733,"0/101601/104712/104733","物业维修员,物业维修,Property maintenance worker"
房地产/建筑/物业,物业管理,物业机电工程师,104734,"0/101601/104712/104734","物业机电工程师,物业工程,Property Electrical and Mechanical Engineer"
汽车制造,汽车维修,汽车改装工程师,104735,"0/102292/102432/104735","汽车改装工程师,汽车改装,Automobile modification engineer"
汽车制造,汽车维修,汽车机电工程师,104736,"0/102292/102432/104736","汽车机电工程师,汽车机电,Automotive Mechatronics Engineer"
汽车制造,整车开发,CAE/CFD工程师,104737,"0/102292/102293/104737","CAE/CFD工程师,CAE,CFD,CAE/CFD Engineer"
汽车制造,整车开发,NVH主管,104738,"0/102292/102293/104738","NVH主管,NVH经理,NVH Supervisor"
汽车制造,整车开发,车身主管,104739,"0/102292/102293/104739","车身主管,车身主任,车身经理,车身部长,Vehicle Body Supervisor"
汽车制造,整车开发,车导航安装,104741,"0/102292/102293/104741","车导航安装,GPS安装,Vehicle navigation installation"
汽车制造,整车开发,车测试员,104742,"0/102292/102293/104742","车测试员,车测试,车试验,车检测,Vehicle Tester"
汽车制造,整车开发,轻量化工程师,104743,"0/102292/102293/104743","轻量化工程师,轻量化专家,Lightweight Engineer"
汽车制造,整车开发,总布置工程师,104744,"0/102292/102293/104744","总布置工程师,Layout Engineer"
汽车制造,整车开发,排气操作工,104745,"0/102292/102293/104745","排气操作工,排气员,Exhaust Operator"
汽车制造,整车开发,车身附件工程师,104746,"0/102292/102293/104746","车身附件工程师,车附件工程师,车附件设计,Vehicle Body accessories engineer"
汽车制造,整车开发,车身附件主任,104747,"0/102292/102293/104747","车身附件主任,车附件主任,车附件主管,车附件部长,Vehicle Body Accessories Director"
汽车制造,整车开发,座椅安装,104749,"0/102292/102293/104749","座椅安装,座椅装配工,Seat Installation"
汽车制造,整车开发,开闭件主管工程师,104750,"0/102292/102293/104750","开闭件主管工程师,开闭件主管,开闭件主任,Opening and closing parts chief engineer"
汽车制造,整车开发,开闭件工程师,104751,"0/102292/102293/104751","开闭件工程师,开闭件设计,Opening and closing parts engineer"
汽车制造,整车开发,主/被动安全工程师主任,104752,"0/102292/102293/104752","主/被动安全工程师主任,碰撞主管,碰撞主任,Active/Passive Safety Engineer Director"
汽车制造,整车开发,总布置主管工程师,104753,"0/102292/102293/104753","总布置主管工程师,总布置主管,总布置主任,Chief Layout Engineer"
汽车制造,新能源,电池工程主任,104754,"0/102292/102362/104754","电池工程主任,电池主任,电池组长,电池主管,电池经理,电池部长,电池负责人,电池所长,Battery Engineering Director"
汽车制造,新能源,电机工程主任,104755,"0/102292/102362/104755","电机工程主任,电机主任,电机主管,电机经理,电机负责人,电机所长,电机组长,电机部长,Electrical Machinery Engineering Director"
汽车制造,新能源,电控工程师,104756,"0/102292/102362/104756","电控工程师,电控师,电控员,电控专家,Electronic control engineer"
生产/制造,研发/设计,机械设计工程师,104805,"0/104801/104802/104805","机械设计工程师,MECHANICAL DESIGNER,机械设计师,MECHANICAL DESIGN ENGINEER,机械设计员"
生产/制造,研发/设计,机械设计主管工程师,104806,"0/104801/104802/104806","机械设计主管工程师,机械设计主任,MECHANICAL DESIGN MANAGER,机械设计LEADER,机械设计组长,MECHANICAL DESIGN SUPERVISOR,机械设计主管,机械设计经理,机械设计负责人,机械设计管理,Chief mechanical Design Engineer"
生产/制造,研发/设计,造型设计师,104808,"0/104801/104802/104808","造型设计师,STYLING DESIGN,外观设计,造型设计,Stylist Designer"
生产/制造,研发/设计,造型设计主管,104809,"0/104801/104802/104809","造型设计主管,STYLING DESIGN SUPERVISOR,STYLING DESIGN LEADER,造型设计主任,STYLING DESIGN MANAGER,外观设计主任,外观设计主管,外观设计组长,外观设计经理,外观设计负责人,造型设计组长,造型设计经理,造型设计负责人"
生产/制造,研发/设计,造型设计助理,104810,"0/104801/104802/104810","造型设计助理,外观设计助理,STYLING ASSISTANT,Styling Design Assistant"
生产/制造,研发/设计,模具设计师经理,104818,"0/104801/104802/104818","模具设计师经理,模具设计经理,MOULD design MANAGER,模具设计主管,模具设计组长,模具设计负责人,模具设计主任,模具设计管理,Mold Designer Manager"
生产/制造,研发/设计,模具设计员,104819,"0/104801/104802/104819","模具设计员,MOLD DESIGN ENGJNEER,MOLD DESIGNER,MOULD TECHNICAL ENGINEER,模具设计"
生产/制造,研发/设计,工艺设计师,104820,"0/104801/104802/104820","工艺设计师,PROCESS ENGINEER,Process Designer"
生产/制造,研发/设计,主任工艺设计师,104821,"0/104801/104802/104821","主任工艺设计师,工艺设计主任,Chief Process Designer"
生产/制造,研发/设计,机械工艺工程师,104822,"0/104801/104802/104822","机械工艺工程师,机械工艺,Mechanical process engineer"
生产/制造,研发/设计,焊装工艺工程师,104823,"0/104801/104802/104823","焊装工艺工程师,焊装工艺,Welding process engineer"
生产/制造,研发/设计,焊装工艺经理,104825,"0/104801/104802/104825","焊装工艺经理,焊装工艺主任,焊装工艺主管,焊装工艺负责人,焊装工艺管理,Welding Process Manager"
生产/制造,研发/设计,总装工艺工程师,104826,"0/104801/104802/104826","总装工艺工程师,总装师,总装工,总装专家,Assembly process engineer"
生产/制造,研发/设计,总装工艺工程师经理,104827,"0/104801/104802/104827","总装工艺工程师经理,总装经理,总装班长,总装组长,总装主管,总装主任,总装负责人,Assembly Process Engineer Manager"
生产/制造,研发/设计,冲压工艺工程师,104829,"0/104801/104802/104829","冲压工艺工程师,冲压工艺师,冲压工艺设计,Stamping process engineer"
生产/制造,研发/设计,冲压工艺经理,104830,"0/104801/104802/104830","冲压工艺经理,冲压工艺主管,冲压工艺主任,冲压工艺负责人,Stamping Process manager"
生产/制造,研发/设计,冲压工艺技术员,104831,"0/104801/104802/104831","冲压工艺技术员,冲压员,冲压工艺,Stamping process technician"
生产/制造,研发/设计,涂装工艺工程师,104832,"0/104801/104802/104832","涂装工艺工程师,涂装工艺师,涂装工艺员,喷涂工艺员,喷涂工艺师,Coating process engineer"
生产/制造,研发/设计,涂装工艺经理,104833,"0/104801/104802/104833","涂装工艺经理,喷涂工艺主管,涂装工艺主管,涂装工艺主任,涂装工艺负责人,喷涂工艺经理,喷涂工艺主任,喷涂工艺负责人,喷涂工艺组长,涂装工艺组长,Coating Process Manager"
生产/制造,研发/设计,仪器仪表设计工程师,104834,"0/104801/104802/104834","仪器仪表设计工程师,仪器设计,仪表设计,Instrument design engineer"
生产/制造,研发/设计,零配件设计师,104835,"0/104801/104802/104835","零配件设计师,零配件工程师,零部件设计,Spare Parts Designer"
生产/制造,研发/设计,食品饮品研发工程师,104836,"0/104801/104802/104836","食品饮品研发工程师,饮品研发,食品研发,Food and Beverage R&D Engineer"
生产/制造,研发/设计,食品饮品研发总监,104838,"0/104801/104802/104838","食品饮品研发总监,食品研发总监,饮品研发总监,食品研发总经理,饮品研发总经理,Food and Beverage R&D Director"
生产/制造,研发/设计,食品饮品研发经理,104839,"0/104801/104802/104839","食品饮品研发经理,食品研发经理,食品研发主管,食品研发主任,食品研发负责人,食品研发管理,饮品研发主任,饮品研发主管,饮品研发经理,饮品研发负责人,饮品研发管理,Food and Beverage R&D Manager"
生产/制造,研发/设计,食品饮品研发助理,104840,"0/104801/104802/104840","食品饮品研发助理,食品研发助理,饮品研发助理,Food and Beverage R&D Assistant"
生产/制造,研发/设计,植物提取研发员,104842,"0/104801/104802/104842","植物提取研发员,植物提取,Plant Extraction Researcher"
生产/制造,研发/设计,植物提取研发主管,104843,"0/104801/104802/104843","植物提取研发主管,植物提取负责人,植物提取经理,植物提取组长,植物提取主管,植物提取主任,Head of Plant Extract R&D"
生产/制造,研发/设计,配方研发,104844,"0/104801/104802/104844","配方研发,配方员,配方师,Formula R&D"
生产/制造,研发/设计,服装设计,104845,"0/104801/104802/104845","服装设计,Fashion Design"
生产/制造,研发/设计,服装设计助理,104846,"0/104801/104802/104846","服装设计助理,Fashion Design Assistant"
生产/制造,研发/设计,服装设计总监,104847,"0/104801/104802/104847","服装设计总监,服装设计总经理,Fashion Design Director"
生产/制造,研发/设计,服装设计经理,104848,"0/104801/104802/104848","服装设计经理,服装设计主管,服装设计负责人,服装设计主任,Fashion Design Manager"
生产/制造,研发/设计,制浆工艺工程师,104849,"0/104801/104802/104849","制浆工艺工程师,制浆工,制浆员,制浆师,Pulping process engineer"
生产/制造,研发/设计,模型设计师,104859,"0/104801/104802/104859","模型设计师,MODEL DESIGNER,模型设计"
生产/制造,研发/设计,模型设计经理,104860,"0/104801/104802/104860","模型设计经理,MODEL DESIGN MANAGER,模型设计主管,模型设计主任,模型设计负责人"
生产/制造,研发/设计,模型设计总监,104861,"0/104801/104802/104861","模型设计总监,MODEL DESIGN DIRECTOR,模型设计总经理"
生产/制造,智能开发,自动化工程师,104868,"0/104801/104864/104868","自动化工程师,自动化师,自动化专家,Automation Engineer"
生产/制造,智能开发,驱动器开发工程师,104869,"0/104801/104864/104869","驱动器开发工程师,驱动器专家,驱动器师,Drive Development Engineer"
生产/制造,智能开发,传感器研发工程师,104870,"0/104801/104864/104870","传感器研发工程师,传感器师,传感器开发,传感器专家,传感器技术,传感器Engineer,Sensor R&D Engineer"
生产/制造,智能开发,传感器研发经理,104872,"0/104801/104864/104872","传感器研发经理,传感器经理,传感器主管,Sensor R&D Manager"
生产/制造,智能开发,传感器研发助理,104874,"0/104801/104864/104874","传感器研发助理,传感器助理,传感器担当,Sensor R&D Assistant"
生产/制造,智能开发,算法工程师,104876,"0/104801/104864/104876","算法工程师,算法专家,算法师,Algorithm Engineer"
生产/制造,智能开发,算法工程师主管,104878,"0/104801/104864/104878","算法工程师主管,算法主管,算法总监,算法主任,算法经理,Algorithm Engineer Supervisor"
生产/制造,智能开发,嵌入式助理工程师,104879,"0/104801/104864/104879","嵌入式助理工程师,嵌入式助理,Embedded Assistant Engineer"
生产/制造,智能开发,嵌入式开发工程师,104880,"0/104801/104864/104880","嵌入式开发工程师,嵌入式师,嵌入式专家,Embedded Development Engineer"
生产/制造,智能开发,嵌入式开发主管,104882,"0/104801/104864/104882","嵌入式开发主管,嵌入式经理,嵌入式主管,嵌入式主任,嵌入式管理,嵌入式组长,嵌入式负责人,Embedded Development Manager"
生产/制造,智能开发,机器视觉,104883,"0/104801/104864/104883","机器视觉,Machine Vision"
生产/制造,智能开发,机器学习,104884,"0/104801/104864/104884","机器学习,Machine Learning"
生产/制造,智能开发,深度学习,104885,"0/104801/104864/104885","深度学习,Deep Learning"
生产/制造,智能开发,自然语言处理,104887,"0/104801/104864/104887","自然语言处理,自然语言,Natural Language Processing"
生产/制造,智能开发,图像识别,104888,"0/104801/104864/104888","图像识别,Image Recognition"
生产/制造,智能开发,图像处理,104889,"0/104801/104864/104889","图像处理,ISP Engineer,ISP师,Image Processing"
生产/制造,智能开发,图像算法,104890,"0/104801/104864/104890","图像算法,Image Algorithms"
生产/制造,智能开发,通信系统开发工程师,104892,"0/104801/104864/104892","通信系统开发工程师,通信师,通信专家,Communication system development engineer"
生产/制造,智能开发,电子系统开发工程师,104893,"0/104801/104864/104893","电子系统开发工程师,电子系统师,Electronic Systems Engineer,Electronic System Engineer,Electronic system development engineer"
生产/制造,智能开发,芯片开发,104895,"0/104801/104864/104895","芯片开发,芯片技术,芯片研发,芯片设计,芯片工程师,Chip development"
生产/制造,智能开发,信息安全工程师,104897,"0/104801/104864/104897","信息安全工程师,信息安全师,信息安全专家,信息安全研究员,Information Security Engineer"
生产/制造,智能开发,仿真应用与开发,104898,"0/104801/104864/104898","仿真应用与开发,仿真,Simulation Engineer,Simulation Application and Development"
生产/制造,智能开发,半导体工程师,104901,"0/104801/104864/104901","半导体工程师,半导体师,半导体技术,半导体Specialist,半导体专家,半导体专员,半导体Engineer,Semiconductor Engineer"
生产/制造,智能开发,系统集成,104902,"0/104801/104864/104902","系统集成,系统集成师,系统集成专家,System Integration"
生产/制造,智能开发,单片机工程师,104903,"0/104801/104864/104903","单片机工程师,单片机师,单片机开发,单片机助理,MCU Engineer"
生产/制造,智能开发,电路设计,104904,"0/104801/104864/104904","电路设计,Circuit Design"
生产/制造,智能开发,DSP开发,104905,"0/104801/104864/104905","DSP开发,DSP师,DSP Engineer,DSP Development"
生产/制造,智能开发,ARM开发,104906,"0/104801/104864/104906","ARM开发,ARM师,ARM Engineer,ARM Development"
生产/制造,智能开发,PCB工艺,104907,"0/104801/104864/104907","PCB工艺,PCB师,PCB Engineer,PCB Process"
生产/制造,智能开发,热传导,104908,"0/104801/104864/104908","热传导,Heat conduction"
生产/制造,智能开发,精益工程师,104909,"0/104801/104864/104909","精益工程师,精益,Lean Engineer"
生产/制造,智能开发,变频器硬件开发,104910,"0/104801/104864/104910","变频器硬件开发,变频器师,变频器技术,变频器维修,变频器Engineer,Inverter Hardware Development"
生产/制造,智能开发,机器人开发,104911,"0/104801/104864/104911","机器人开发,机器人师,Robot Engineer,Robot development"
生产/制造,智能开发,FPGA开发,104912,"0/104801/104864/104912","FPGA开发,FPGA师,FPGA Engineer,FPGA Development"
生产/制造,智能开发,IC开发,104913,"0/104801/104864/104913","IC开发,IC师,IC designer,IC Engineer,IC设计,IC Development"
生产/制造,生产技术,机械工程师,104915,"0/104801/104914/104915","机械工程师,机械员,MECHANICAL ENGINEER,机械师,机械专家,机械设计"
生产/制造,生产技术,机械经理,104916,"0/104801/104914/104916","机械经理,机械主任,机械主管,机械负责人,机械组长,Machinery Manager"
生产/制造,生产技术,工艺工程师,104920,"0/104801/104914/104920","工艺工程师,工艺师,PE工程师,工艺员,Process Engineer"
生产/制造,生产技术,工艺主管,104921,"0/104801/104914/104921","工艺主管,工艺经理,工艺主任,工艺负责人,工艺组长,Process Supervisor"
生产/制造,生产技术,模具工程师,104928,"0/104801/104914/104928","模具工程师,模具,MOLD ENGINEER"
生产/制造,生产技术,焊接工程师,104932,"0/104801/104914/104932","焊接工程师,焊接员,焊接师,焊接工,焊接OPERATOR,Welding Engineer"
生产/制造,生产技术,焊接主管,104933,"0/104801/104914/104933","焊接主管,焊接经理,焊接负责人,焊接课长,焊接主任,Welding Supervisor"
生产/制造,生产技术,液压助理工程师,104934,"0/104801/104914/104934","液压助理工程师,液压助理,Hydraulic Assistant Engineer"
生产/制造,生产技术,液压工程师主管,104935,"0/104801/104914/104935","液压工程师主管,液压LEAD,液压主管,液压MANAGER,液压LEADER,液压SUPERVISOR,液压经理,液压课长,液压负责人,液压主任,液压组长,Hydraulic Engineer Supervisor"
生产/制造,生产技术,铸造工程师,104936,"0/104801/104914/104936","铸造工程师,铸造员,铸造师,铸造专家,铸造工,铸造助理,Casting Engineer"
生产/制造,生产技术,铸造工程师主管,104937,"0/104801/104914/104937","铸造工程师主管,铸造LEADER,铸造经理,铸造主管,铸造主任,铸造SUPERVISOR,铸造课长,铸造MANAGER,铸造LEAD,铸造负责人,铸造组长,Foundry Engineer Supervisor"
生产/制造,生产技术,冲压工程师,104938,"0/104801/104914/104938","冲压工程师,冲压员,冲压师,冲压OPERATOR,Stamping Engineer,冲压工,冲压设计"
